Codebook Size,Binary sequence length,Quaternary sequence length,Redundancy(ours),Redundancy(sota)
2,1,3,5,37.83165822
3,1.584962501,4,6.415037499,54
4,2,5,8,64.6532189
5,2.321928095,5,7.678071905,64.6532189
6,2.584962501,6,9.415037499,72.47083329
7,2.807354922,6,9.192645078,72.47083329
8,3,6,9,72.47083329
9,3.169925001,6,8.830074999,72.47083329
10,3.321928095,7,10.67807191,78.58365632
11,3.459431619,7,10.54056838,78.58365632
12,3.584962501,7,10.4150375,78.58365632
13,3.700439718,8,12.29956028,83.56842503
14,3.807354922,7,10.19264508,78.58365632
15,3.906890596,8,12.0931094,83.56842503
16,4,7,10,78.58365632
17,4.087462841,9,13.91253716,87.75647072
